Día	Punchaw
El peine hecho de cuerno no se rompe.	Waqramanta rurasqa ñaqchaqa manam pakikunchu.
Peinar	Ñaqchay
Péinense para ir a la escuela.	Péinense para ir a la escuela.
Afilar	Ñawchiy
Afila el machete.	¡Machitita ñawchiy!
Ojos	Ñawi
Cuidemos bien nuestros ojos.	Ñawinchikta imamantapas amachasun.
Leer	Ñawichay
Vamos a leer el libro del profesor.	Yachachiqpa qillqa maytuta ñawichasun.
Delante	Ñawpaq
Antes	Ñawpaq
La mujer con quien converso se encuentra delante mí.	Rimasqay warmiqa ñawpaqniypim kan.
Dicen que antes no había pobres.	Ñawpaqqa manas wakchakuna kasqachu.
Ciego	Ñawsa
Miremos al gallo ciego.	Ñawsa utuluta nakarqusun.
Orden	Ñiqi
Grado	Ñiqi
Iremos al pueblo el segundo día de la semana.	lskay ñiqi punchawpi Ilaqtata risunchik.
Tu hijo ya esta en segundo grado.	Iskay ñiqipiñam wawayki kachkasqa.
Leche	Ñuqñu
La leche es un buen alimento.	Ñuqñuqa allin mikuymi.
Teta	Ñuñu
Esa joven tiene senos grandes.	Ñuñusapam chay sipas.
La teta de la cabra tiene dos pezones.	Kawrapa ñuñunqa iskay suqunayuqmi.
Alma	Ñuna
Espíritu	Ñuna
Anoche he visto el espíritu de mi difunta familia.	Wañuq aylluypa ñunanta chisi rikuni.
Moco	Ñuti
El niño se limpia el moco.	Warmaqa ñutita pichakun.
Seso	Ñutqu
Cerebro	Ñutqu
El seso del hombre es pesado.	Runapa ñutqunqa Ilasam.
Menudo	Ñutu
Sancochemos la papa menuda.	Ñutu papata yanurqusun.
Universo	Pacha
Tiempo	Pacha
Ropa	Pacha
¡Estamos contaminando demasiado el mundo en que vivimos!	¡Llumpaytam qanrachachkanchik yachananchik pachata!
Se había vestido hermosamente.	Sumaq sumaqta pachakarqamusqa.
100	Pachak
Cien	Pachak
Nuestra escuela ya tiene cien años.	Pachak watayuqñam kay yachay wasinchik.
Ciempiés	Pachak chaki
El ciempiés puede picarte.	Pachak chakiqa kachusunkimanmi.
Roto	Pakisqa
Quebrado	Pakisqa
Me ha dado un lápiz roto.	Pakisqa qillqanatam quwarqa.
Romper	Pakiy
Quebrar	Pakiy
Ella quiebra la leña para cocinar.	Yanukunanpaq yantata pakin.
Lechuza	Pakpaka
Mochuelo	Pakpaka
La lechuza llora anunciando que alguien morirá.	Wañunanpaqmi pakpaka waqachkan.
Falda	Palika
Ponte tu faldita para esta fiesta.	Kay raymipiqa palikachaykita churakuykuy.
Recoger	Pallay
Levantar	Pallay
Alzar	Pallay
Recojamos la coca.	Kukata Pllasun.
Cucaracha	Pallaysu
En la costa hay abundante cucaracha.	Chalapi supay pallaysukuna kan.
Palta	Palta
Comamos palta con sal.	Paltata kachichayuqta mikukusun.
Llanura	Pampa
Pampa	Pampa
Vamos a jugar en esa pampa.	Wak pampapi pukllamusun.
Perdonar	Pampachay
Olvidar	Pampachay
Ya te perdoné por haberme abandonado.	Saqiwasqaykitaqa pampachaniñam.
Enterrar	Pampay
Acompañemos en el cortejo fúnebre.	Waytapa taytanta haku pampaysimusun.
Linaje	Panaka
Casta	Panaka
Ellos también pertenecen a nuestro linaje.	Paykunapas panakayku rantim.
Romperse	Panchiy
Rajarse	Panchiy
Reventarse	Panchiy
La piedra se ha rajado.	Rumi panchirqukusqa.
Hermana del varón.	Pani
Esta noche van a pedir la mano de mi hermana.	Paniypa makintam kanan tuta mañanqaku.
Acampanado	Pankachu
Me encontré con una mujer de sombrero acampanado.	Pankachu ruqu warmiwanmi tuparquni.
Engañar	Pantachiy
Los gobernantes engañan a la población.	Kamachikuqkuna Ilaqta runakunata pantachin.
Equivocarse	Pantay
Errar	Pantay
Me equivoqué en contar.	Yupayta pantarquni.
Derecho	Paña
Se luxó su mano derecha.	Paña makinmi muqakurqun.
Papaya	Papaya
Mañana comeremos papaya.	Paqarinmi papayata mikusun.
Fundar	Paqarichiy
Crear	Paqarichiy
Vamos a crear una escuela en este pueblo.	Kay Ilaqtapi yachay wasita paqarichisun.
Mañana	Paqarin
Día siguiente.	Paqarin.
Mañana vengan temprano.	Paqarin tutapayta hamunkichik.
Amanecer	Paqariy
Nacer	Paqariy
Brotar	Paqariy
Ya está llegando el amanecer.	Paqariy chayaykamuchkanña.
Había brotado el maicito.	Saracha paqarirqamusqa.
Catarata	Paqcha
La catarata de mi pueblo se ve bonita.	Llaqtaypi paqchaqa sumaqtam qawakun.
Cascada	Paqchi
Caída de agua	Paqchi
Mejor, enjuaga tu ropa en la cascada.	Paqchapiña pachaykita aywirqamuy.
Calvo	Paqla
Conforme envejecen los varones se vuelven calvos.	Machuyasqanmanhinaqa qarikuna paqlayanmi.
Cabuya	Paqpa
Vamos a cortar cabuyas para las bardas.	Pirqanchik kurawanapaq paqpata kuchumusunchik.
Juzgar	Paqtachay
Hacer justicia	Paqtachay
Si hubiera justicia nadie sufriría.	Paqtachay kaptinqa manam pipas waqanmanchu.
Libertad	Paqtachi
Todos los hombres tenemos libertad.	Sapa runam paqtachiyuq kanchik.
Alpaca	Paqu
Rubio	Paqu
Están vendiendo carne de alpaca.	Paqu aychatam rantikuchkanku.
El pelo del choclo es rubio.	Chuqllupa chukchanmi paqu Ilimpiyuq.
Lluvia	Para
Cuando llega la lluvia el pasto crece.	Vamos a regar para sembrar.
Placenta	Paris
Pares	Paris
El perro se comió la placenta de la oveja.	Chitapa parisnintam allqu mikurqun.
Flamenco	Pariwana
Yo crié un flamenco para que lo conozcan ustedes.	Pariwanatam uywakumani qamkuna riqsinaykichikpaq.
Regar	Parquy
Vamos a regar para semabrar maíz.	Sara tarpunapaq parqumusun.
Flor de maíz.	Parwa.
Dicen que la flor de maíz es buena contra la hinchazón de estómago.	Sarapa parwansi wiksa punkipaq allin kan.
Rosetas de maíz.	Pasanqalla.
Cuando siembro maíz aparecen muchas rosetas de maíz.	Sarata tarpuptiy achkam pasanqallakuna rikurimun.
Cocido a vapor.	Pasi.
Hazme el favor, de servir chuño sancochado a los niños.	Chuñu pasita warmakunaman qaraykapullaway.
Desatar	Paskay
¡Desata a nuestras vacas!	¡Wakanchikta paskay!
Muchacha	Pasña
Quiero cuatro muchachas para que escojan la papa.	Papa akllananpaq tawa pasñakunata munani.
Muro	Pata
Borde	Pata
Orilla	Pata
Vamos a ese muro.	Haku wak patata.
Sopa de trigo.	Patachi.
Quiero que me sirva patachi.	Patachi qaramuwananta munani.
Andenería	Pata pata
Sembremos frijoles en los andenes.	Pata patapi purututa tarpukusun.
Doblar	Pataray
Dobla la soga.	Waskata pataray.
Reventar	Patay
Las habas ya están reventadas, listas para comer.	Hawasqa patarqunñam, allinñam mikunapaq.
Pati	Pati
Árbol quebradino.	Pati.
Sembraríamos pati para que esos pedregales se tornen verdes.	Wak sallar qumiryarinanpaq patita tarpuchwan.
Correr	Paway
Volar	Paway
Irás corriendo a la escuela.	Kallpaylla yachay wasita rinki.
Nuestra gallina ha volado.	Wallpanchikmi pawarikun.
Anciana	Paya
Su abuelita ya está viejita.	Hatun mamanqa payachañam.
Barrer	Pichay
Vas a barrer esa basura.	Chay qupakunata pichaykunki.
Gorrión	Pichiwsa
El gorrión está comiendo la comida de la gallina.	Pichiwsa wallpapa mikunanta mikuchkan.
Pulga	Piki
La pulga me chupó la sangre.	Piki yawarniyta suqurquwan.
Mariposa	Pillpintu
La mariposa vuela de flor en flor.	Waytan waytan pillpintu pawaykachachkan.
Corona de flores.	Pillu.
Hagamos una corona de flores.	Pilluta ruraykusun.
Enojado	Piña
Molesto	Piña
Ese hombre está muy enojado.	Wak runaqa piña piñam kachkan.
Molestarse	Piñakuy
El profesor se molesta cuando los niños no trabajan bien.	Yachachiqqa mana warmakuna allinta Ilamkaptinku piñakun.
Luciérnaga	Pinchi killa
La luciérnaga alumbra por las noches.	Pinchi killaqa tutanmi kanchan.
Flauta	Pinkuyllu
La quena es para tocarla dulcemente.	Pinkulluqa miskita waqachinapaqmi.
Avergonzar	Pinqachiy
No debemos avergonzar a nuestros semejantes.	Amam runa masinchikta pinqachinachu.
Criticar	Pinqay
Hay personas que solo viven para criticar.	Runakuna pinqayllapaq kaqkuna kanmi.
Envolver masa con hojas.	Pintuy.
Vamos a envolver las humitas.	Humintata pintumusun.
Pared	Pirqa
La pared de la casa está derrumbándose.	Wasipa pinqan tuñirqamuchkanña.
Pircar	Pirqay
edificar	Pirqay
Ayer levanté el muro con piedra.	Qayna punchaw rumiwan pirqamani.
Traje	Pirwa
¡Saca el maíz de la pirwa!	¡Pirwamanta sarata hurqumuy!
Menos	Pisi
Me diste poco.	Pisillatam quykuwanki.
Cansarse	Pisipay
Estoy cansado por haber trabajado todo el día.	Tukuy punchaw llamkasqaymanta pisipasqam kachkani.
Puré de quinua.	Pisqi.
El puré de quinua es vitamina para el cerebro.	Pisqi mikuyqa allinmi umapaq.
Pájaro	Pisqu
Ave	Pisqu
Los pájaros están comiendo la cebada.	Pisqukuna siwarata mikuchkan.
Primogénito	Piwi
Mi primer hijo es profesor.	Piwi churiyqa yachachiqmi.
Rueca	Puchka
¡Lleva la rueca para hilar la lana!	¡Lleva la rueca para hilar la lana!
Hilar	Puchkay
¡Que hile la lana de la llama!	¡Llamapa millwanta kawpuchun!
Salado	Puchqu
El picante salado provoca sed.	Puchqu pikantiqa yakunayachikunmi.
Había salado demasiado la comida.	Llumpaytam puchqurqachisqa mikuyta.
Rojo	Puka
Oye, pollerita colorada, ¿a dónde vás?	Yaw, puka pulliracha, ¿maytataq richkanki?
Fortaleza	Pukara
La fortaleza de Sacsayhuaman está construida con piedras inmensas.	Saksaywaman pukarataqa hatunkaray rumikunawanmi pirgasqaku.
Jugar	pukllay
Los niños juegan con la pelota.	Warmakunam pukuchuwan pukilachkanku.
Hondonada	Pukru
¡Arroja el guano a la hondonada!	¡Pukruman wanuta wischumuy!
Soplador	Pukuna
¡Aviva la candela con el soplador!	¡Pukunawan ninata pukuy!
Soplar	Pukuy
El niño sopla muy bien la candela.	Wawaqa allinta ninata pukun.
Manantial	Pukyu
Trae agua del Manantial.	¡Pukunawan ninata pukuy!
Fontanela	Pukyun
La fontanela del bebé late.	Wawapa pukyun timputiyamun.
Pollera	Pullira
¡Lava la pollera de tu madre!	¡Mamaykipa pulliranta taqsay!
Escudo	Pullkanqa
El escudo lo llevaban en el brazo izquierdo.	Pullkanqataqa ichuq makipim apaqku.
Manta para cargar o abrigar la espalda.	Pullu.
La manta hecha de lana de vicuña es muy suave.	Llampullam wikuña millwamanta rurasqa pullu.
Deteriorado	Pumpu
Dicen que el rio trajo un tronco podrido.	Mayus pumpu kulluta apamusqa.
Día	Punchaw
Hoy día vendrá a trabajar.	Kunan punchaw Ilamkaq hamunqa.
Ponche	Punchi
Véndeme ponche.	Punchiykita rantikuway.
Poncho	Punchu
Mi abuelo me está tejiendo un poncho.	Punchuta awiluy awapuwachkan.
Hinchado	Punki
Cara hinchada.	Punkisqa uya.
Rostro hinchado.	Punkisqa uya.
El maíz remojado se había hinchado.	Yakupi nuyuchisqa saraqa punkirqusqam.
Puerta	Punku
Entrada	Punku
La puerta de la casa está abierta.	Wasipa punkun wichqasqa kachkan.
Dormir	Puñuy
El perro está durmiendo.	Allquqa puñuchicanmi.
Ombligo	Pupu
El ombligo del bebé ya está cicatrizando.	Wawapa pupun chakichkanña.
Madurar	Puquy
Maduración	Puquy
Los productos maduran con el sol.	Intiwanmi mikuykuna puqun.
Ya es tiempo de maduración.	Mikuykuna puqumuchkanñam.
Caminar	Puriy
Andar	Puriy
Los animales están caminando en el campo.	Uywakuna pampapi purinku.
Pluma	Puru
La gallina está mudando su plumaje.	Wallpa purunta tikrachkan.
Eriazo	Purun
El terreno eriazo no sirve para sembrar.	Purun allpaqa manam tarpunapaq allinchu.
Frijol	Purutu
Sembremos frijol.	Purututa tarpumusun.
Guiar	Pusay
¡Lleva al niño a la escuela!	¡ Yachay wasinman wawata pusay!
Habas sanchochadas.	Puspu.
Sancocha haba tostada.	Kamchasqa hawasmanta puspun.
Ampolla	Pusullu
Por haber trabajado después de mucho tiempo mi mano se hizo ampollas.	Unaymanta Ilamkaykuptiymi makiy pusullukurqun.
Espuma	Pusuqu
¿Acaso yo soy espuma de río para desaparecer dando vueltas y vueltas?	Mayupa pusuqunchu ñuqaqa karqanimuyu muyurispa chinkarqunaypaq.
Turbio	Putka
El río Chakabamba, de agua turbia, arrastra árboles.	Chakajpampa putka yakuqa sachakunata upan.
Medida	Putquy
Préstame un puñado de machca.	Putquy machkata aynikuykuway.
Vasija de calabaza o de mate.	Putu
Trae el agua en la vasija de calabaza!	¡Kalawasa putupi yakuta apamuy!
Crecer	Puturiy
Desarrollarse	Puturiy
La familia empobrecida comienza a sobresalir por el trabajo.	Wakchayasqa ayllu Ilamkaywan puturichkanña.
Trompeta de caracol.	Pututu.
Trae el pututo para llamar a la gente.	Putututa apamuy runakuna qayananchikpaq.
Panecillo	Puyllu
Sus padres convidan panecillos.	Taytankuman puylluta mallichinku.
Polilla	Puyu
La polilla terminó con el hilado de mi madre.	Mamaypa puchkantam puyu tukurqusqa.
Nube	Puyu
La nube tapó al sol.	Puyu intita harkarqun.
Tierra suelta.	Qallpa.
La tierra de nuestra chacra es suave, no es dura.	Chakranchikqa qallpam, manam kapkachu.
Lengua	Qallu
La lengua cocida de los animales es rica.	Chakranchikqa qallpam, manam kapkachu.
Pujar	Qamay
La mujer puja mucho al dar a luz.	Warmi wachananpaqqa Ilumpaytam qaman.
Insípedo	Qamya
La sopa está desabrida.	Chupiqa qamyam kachkan.
Cañihua	Qañiwa
Comiendo cañihua los bebés crecen muy saludables.	Qañiwata mikuspaqa allin kallpayuqmi wawakuna qispin.
Sucio	Qanra
Vamos a lavar las ropas sucias.	Qanra pachakunata taqsamusun.
Cantata	Qantu
Lleva una flor de cantuta en el sombrero.	Qantupa waytanta sumirunpi apan.
Gritar	Qapariy
El hombre le grita a su hijo.	Runa churinta qaparin.
Exprimir	Qapiy
Exprime el limón en el ají.	Limunchata uchuman qapiykuy.
Roca	Qaqa
En la oquedad de la roca está empollando el gavilán.	Qaqapa uchkunpi anka uqllachkan.
Reprender	Qaqchay
Resondrar	Qaqchay
¡No reprendas al niño!	¡Ama wawata qaqchaychu!
Frotar	Qaquy
Sobar	Qaquy
Soba la masa para hacer el pan.	Akuta tanta ruranapaq qaquy.
Piel	Qara
Cuero	Qara
Cáscara	Qara
De la piel del hombre sale sangre.	Runapa qaranmanta yawar Iluqsimun.
Del cuero de la vaca hacen ojotas.	Wakapa qaranmanta siquyta ruranku.
La cáscara de la papa es buena para el dolor de riñones.	Papapa qaranqa allinmi ruru nanaypaq.
Sarna	Qaracha
Si no se lavan la cara o las manos puede ocasionar sarna aparece sarna.	Mana mayllakusqaqa uyapipas makipipas qaracha rikurimun.
Zarigüeya	Qara chupa
Maca	Qara chupa
La zarigüeya camina tanto en los árboles como en la tierra.	Qara chupaqa sachantapas, pampantapas purinmi.
Servir comida	Qaray
Servir	Qaray
Sirve la comida para que coman.	Mikunankupaq qarakamuy.
Servir a una persona desconocida había sido difícil.	Mana riqsisqa runata qarayqa sasam kasqa.
Lagarto	Qaraywa
Lagartija	Qaraywa
La lagartija vive en los cascajales.	La lagartija vive en los cascajales.
Varón	Qari
Traes al mejor varón.	Allinnin kaq qarita pusamunki.
Abra	Qasa
Cuando lleguemos al abra comenzaremos a bajar.	Qasaman chayarquspaqa uraytañam qallaykusun.
Helada	Qasa
La helada había "sancochado" las matas de papa.	Qasaqa papatam yanurqusqa.
Pecho	Qasqu
En mi pecho hay un lunar.	Qasquypim anacha kan.
Pendiente	Qata
En esa ladera no podría sembrar.	Chay qatapiqa manam tarpuymanchu.
Arrear	Qatiy
¡Arrea a los animales para que coman!	¡Uywakuna mikunanpaq qatiy!
Amargo	Qatqi
Debes tomar yerbita amarga contra el dolor de estómago.	Wiksa nanaypaqqa qatqi qurachata upyay.
Mercado	Qatu
Plaza	Qatu
La ciudad de Huancavelica tiene un bonito mercado.	Wanka Willka Ilaqtaqa sumaq qatuyuqmi.
Mirar	Qaway
Observar	Qaway
Ver	Qaway
Verás cómo camina la gente.	Runakuna imayna purisqanta qawanki.
Llamar	Qayakuy
Invocar	Qayakuy
Llama a la gente a una reunión.	Runakuna huñunakunanpaq qayaykuy.
Al no tener que comer invoca a sus semejantes.	Mana mikunanpaq kaptin runa masinkunata qayakun.
Acorralar	Qaykuy
Arrear a los animales al corral.	Qaykuy.
¡Arrea las ovejas al corral!	¡Chitakunata qinchanman qaykurqamuy!
Límite	Qayllan
Lindero	Qayllan
Se ve el límite de la chacra.	Chakrapa qayllan rikurimuchkan.
Antes	Qayna
Nuestros abuelos antes se alimentaban muy bien.	Qaynaqa allintam awilunchikkuna mikurqaku.
Ayer	Qayna punchaw
No nos acordamos cómo estuvimos ayer.	Manam qayna punchaw imayna kasqanchikmanta yuyakunchikchu.
Antes de ayer.	Qayninpa punchaw.
Antes de ayer viajó hacia Ayacucho.	Qayninpa punchawmi Ayakkuchuman illarqa.
Hilo	Qaytu
¡Alcánzame el hilo negro!	¡Yana qaytuta haywamuway!
Remover	Qaywiy
Batir	Qaywiy
¡Bate la olla para que no rebalse!	¡Mankata mana tasnumunanpaq qaywiy!
Diarrea	Qicha
Nuestro chancho está con diarrea.	Kuchinchik qichawan kachkan.
Tizne	Qichincha
Se forma bastante tizne con elkerosene.	Qichincha kirusiniwan llumpayta rikurimun.
Tiznado	Qichinchasqa
La choza está tiznada por el humo.	La choza está tiznada por el humo.
Pestañas	Qichipra
Las pestañas protegen a los ojos de cualquier objeto.	Qichipraqa ñawitam, imamantapas amachan.
Quitar	Qichuy
Restar	Qichuy
Sustraer	Qichuy
Le quitaron su lapicero.	Qillqananta qichurqapun.
Si restamos uno de tres solo queda dos.	Kimsamanta hukta qíchuptinchikqa iskayllañam.
Valle interandino	Qichwa
Lengua quechua.	Qichwa.
En el valle crece maíz.	Qichwapiqa sara wiñanmi.
El quechua es una lengua afectiva.	Qichwaqa miski simim.
Ocioso	Qilla
Flojo	Qilla
Metal	Qilla
Mineral	Qilla
El hombre ocioso solamente bebe y bebe.	Qilla runa machaylla machan.
Extrayendo mineral contaminan el agua.	Qillata hurqumuspanku yakuta qachachanku.
Fierro	Qillay
Mandemos a hacer un cuchillo de fierro.	Qillaymanta kuchunata rurachisun.
Contaminación	Qillichay
Suciedad	Qillichay
No es bueno contaminar; nos provoca enfermedades.	Qillichayqa manam allinchu, unquchiwanchikmi.
Contaminar	Qilliy
Los habitantes de las ciudades contaminan el río.	Llaqta runakunam mayuta qillinku.
Astilla	Qillpa
Una astillita se introdujo en mi mano.	Kullu qillpam makiyman satikurqun.
Lápiz	Qillqana
Lapicero	Qillqana
Dibuja mi retrato con el lápiz.	Qillqanawan rikchakuyniyta llimpiy.
Escribir	Qillqay
Escribe en el cuaderno lo que hablamos.	Rimasqanchikta qillqana panqapi qillqay.
Letra	Qillqa
En el quechua chanka hay tres vocales y quince consonantes.	Chanka qichwa simipaqa kimsallam luqyanankuna, luqyanayuqkunañataqmi chunka pichqayuq.
Amarillo	Qillu
La flor del suncho es de color amarillo.	Sunchu waytaqa qillu llimpiyuqmi.
Parpadear	Qimchiy
Guiñar los ojos con cólera.	Qimchiy
Debido a la basura que le entró en sus ojos está parpadeando.	Ñawinman qupa yaykurquptin qimchiykachachkan.
Entre niños se guiñan los ojos.	Warmapura qimchinakunku.
Quena	Qina
Me acompañarás con tu quena para cantar.	Takinaypaq qinawan yanapawanki.
Picaflor	Qinti
El picaflor es de color verde azulado.	Qumirwan anqasniraq Ilimpiyuqmi qintiqa kan.
Árbol nativo del Perú.	Qiñwa.
Quinua	Qiñwa
El quinual crece en tierras frías.	Chiri allpakunapim qiñwa sachaqa wiñan.
Parte posterior	Qipa
Atrás	Qipa
Detrás	Qipa
No mires hacia atrás.	Ama qipaman qawaychu.
Nido	Qista
La paloma está en su nido.	Urpiqa qistanpim kachkan.
Atado	Qipi
Bulto	Qipi
Quipe	Qipi
La mujer se olvidó su bulto.	Warmi qipinta qunqarqun.
Preparar un bulto.	Qipichay.
Envolver con emplasto.	Qipichay.
Alista tu bulto para irnos.	Qipichakuyña rikunanchikpaq.
Envuelve al bebé con flores.	Wawata waytawan qipichay.
Vaso incaico de madera.	Qiru
Sirve chicha en el quero.	Qirupi aqata qaray.
Nido	Qisa
Qirupi aqata qaray.	Urpiqa qisanpi tiyarqunñam.
Cristal	Qispi
Vidrio	Qispi
No vaya a ser que ese vidrio te corte.	Kuchurqusuptiykitaq chay qispi.
Libertador	Qispichiq
José de San Martín fue el libertador del Perú.	Piru suyunchik qispichiqmi José de San Martín karqa.
Liberar	Qispiy
Zafar	Qispiy
Subir	Qispiy
Escalar	Qispiy
Ya se liberó de sus problemas.	Ñakakuyninta qispirqachinñam.
Sube las escaleras.	Pata patata siqay.
Cigarra	Kiskis
La cigarra comienza a volar al caer la noche.	Kiskisqa chisinkuytaqa pawaytam qaIlaykun.
Soga de paja.	Qiswa.
Amarra los palos con soga de ichu para techar la casa.	Qiswawan kaspikunata wasi qatanapaq watay.
Hierba	Qiwa
Pasto	Qiwa
Coge pasto para que coman los cuyes.	Qiwata pallamuy quwi mikunanpaq.
Gaviota	Qiwilla
La gaviota se alimenta de todo tipo de gusanos que encuentra en el agua.	QiwIlaqa imaymana yakupi kaq urukunawanmi kawsan.
Pus	Qiya
Salió pus de la mano del niño.	Warmapa makinmanta qiya Iluqsirqa.
Lago	Qucha
Laguna	Qucha
Estanque	Qucha
El lago Titicaca es muy grande.	Hatun hatun qucham Titikakaqa.
Nobleza	Qullana
Autoridad local.	Qullana.
La nobleza Inca fue muy considerada.	lnka qullanakunaqa allin qawasqam karqa.
La autoridad que elegimos hace posible el desarrollo de nuestro pueblo.	Akllasqanchik qullanam llaqtanchikta wiñachichkan.
Salitre	Qullpa
Los animales lamen el salitre en la pendiente todos los días.	Uywakunaqa sapa punchawmi waqtapi qullpan.
Plata	Qullqi
Dinero	Qullqi
De la mina extraen la plata.	Allpa uku, mina nisqanmantam qullqita hurqumunku.
Asistir a la escuela cuesta mucho dinero.	Yachay wasiman riypas achka quIlqipaqmi.
Acusar	Qumalliy
Entre ellos(as) se acusan.	Kikinkupura qumallinakunku.
Verde	Qumir
La camisa está hecha de tela verde.	Unkuqa qumir awasqawan rurasqam.
Caliente	Quñi
Toma agua caliente para que no te duela el estómago.	Wiksayki mana nanasunaykipaq quñi yakuta upyay.
Rodilla	Qunquri
Se golpeó la rodilla en la piedra.	Rumipi qunqurinta waqtakurqun.
Arrodillarse	Qunqurikuy
¡No te arrodilles!	¡Ama qunqurikuychu!
Basura	Qupa
Barre la basura para que la botes.	Qupa wischunaykipaq pichay.
Fiambre	Quqaw
A él le gusta mucho el fiambre.	Payqa anchatam quqawta munan.
Torcaza	Ququtuwa
Vi a la torcaza en tierras altoandinas.	Sallqa allpakunapi quqututa qawarqani.
Pujar	Quqmay
El niño puja al no poder cargar.	Mana qipiyta atispa warmaqa quqman.
Hierba	Qura
En mi chacra ha crecido mucha mala hierba.	Chakraypi qura puraminti wiñarqamun.
Deshierbar	Quray
Ayúdame a deshierbar la chacra de alverjas del frente.	Chimpa arwirhas chakrata quraysimuway.
Oro	Quri
Moneda de oro.	Qurimanta qullqi.
Roncar	Qurquryay
Ronca como el diablo al dormir.	Supay supaytam puñuspan qurquryan.
Testículo	Quruta
Dos son los testículos de los varones y de los animales machos.	Qari runapapas machu uywakunapas qurutanqa iskaymi.
Esposo	Qusa
Marido	Qusa
El esposo de mi hermana es trabajador.	Paniypa qusanqa llamkaq runam.
Celeste	Qusi
Voy a comprarte una pollerita celeste.	Qusi walichatam rantipusqayki.
Humear	Qusñiy
El carbón está humeando.	Sansa qusñichkan.
Bocio	Qutu
El bocio sale en la garganta.	Kunkapim qutu rikurimun.
Cuy	Quwi
La carne de cuy es muy agradable.	Miski miskim quwipa aychan.
Estrella	Quyllur
Los ojos del gato brillan como la estrella en la noche.	Misipa ñawinqa quyllurhinam tutayaypi kancharin.
Órgano genital femenino.	Raka.
Vagina	Raka
Solo las hembras tienen vagina.	Chinakunallapan rakan kan.
Grueso	Raku
Tronco grueso.	Raku kullu.
Grueso en objetos laminados.	Rakta.
Vas a comprar la frazada más gruesa.	Rakta kaqnintam qatanataqa rantimunki.
Cascajo	Ranra
La chacra es muy pedregosa.	Ranrallañam chakraqa.
Pedregal	Ranra ranra
La chacra de la comunidad es un pedregal.	Ayllu chakraqa ranra ranrallañam.
Comprar	Rantiy
Compro la casa con mucho dinero.	Chanin chaninwanmi wasita rantini.
Vender	Rantikuy
El hombre vende en el mercado.	Qariqa qatupim rantikun.
Papel	Rapi
Página	Rapi
En un papel escribiré poesías.	Raprapi harawikunata qillqasaq.
La hoja del cuaderno es buena.	Qillqana maytupa rapinqa sumaqmi.
Alas	Rapra
Quebraron una de las alas de la perdiz.	Yutupa huknin rapranta pakirqusqaku.
Contagiar	Ratay
A mí también me contagió la sarna.	Qarachaqa ñuqamanpas rataykuwanmi.
Azadón	Rawkana
¡Aporca la papa con el azadón!	¡Rawkanawan papata hallmamuy!
Fuego	Rawray
Arder	Rawray
Hay mucho fuego.	Nina Ilumpayta rawran.
¿Acaso tu garganta está escociendo?	¿Kunkaykichu rawrachkan?
Fiesta	Raymi
Festejan el día de su nacimiento.	Paqarimusqanrayku raymita ruranku.
Trigo	Rihu
Hacen harina moliendo el trigo.	Hakutaqa rihuta kutaspa ruranku.
Imaginarse	Rikchapakuy
Solo se imagina, sin concretar sus ideales.	Rikchapakuyllam rikchapakun, mana munasqanta ruraspa.
Despertar	Rikchay
¡Ya despertó el bebé!	¡Wawa rikcharikunñam!
Hombro	Rikra
Me está doliendo el hombro.	Rikraymi nanawachkan.
Ver	Rikuy
Vi que fuiste a la escuela.	Yachay wasiman risqaykita rikurqanim.
Dialogar	Rimanakuy
Asamblea	Rimanakuy
El maestro y el padre de familia dialogan.	Yachachiqwan tayta mama rimanakunku.
Se está llevando a cabo una gran asamblea.	Hatun rimanakuymi kachkan.
Conversar	Rimay
Hablemos de nuestra siembra.	Tarpusqanchikmanta rimasun.
Oreja	Rinri
Oído	Rinri
Hay que sacarse el cerumen.	Hay que sacarse el cerumen.
Conocer	Riqsiy
Conozco el pueblo de Huanta.	Wanta Ilaqtataqa riqsinim.
Nevada	Riti
Había amanecido con nieve el cerro.	Riti achikyarqusqa urqu umanpi.
Nevar	Ritiy
Cuando llega la granizada se forma nieve en los cerros.	Chikchi para chayamuptín ritin urqukunata.
Ir	Riy
¡Anda a la escuela!	¡Yachay wasiman riy!
Dedo	Rakana
Se pinchó una espina en el dedo gordo.	Kichkam raku rukananman tiparqun.
Ramadizo	Rumasiru
Resfriado	Rumasiru
Los bebés pueden morir cuando el resfrían.	Wawachakuna rumasiru hapirquptinqa wañunmanmi.
Piedra	Rumi
¡Bota las piedras de la chacra!	¡Chakramanta rumikunata wischuy!
Petrificado	Rumiyasqa
Se había petrificado el hueso del animal.	Uywapa tullun rumiyarqusqa.
Gente	Runa
Persona	Runa
En el camino hay muchas personas.	Achka runakunam ñanpi kan.
Huevo	Runtu
Algunas gallinas ponen huevos diariamente.	Wakin wallpakuna sapa punchawmi runtuta runtunku.
Poner huevos.	Runtuy.
Ya están poniendo huevos los patos.	Runtuchkanñam patukunaqa.
Sofocarse	Rupapakuy
Me he sofocado demasiado.	Llumpaytam rupapakurquni.
Calor	Rupay
Hace un fuerte calor.	Llumpaytam rupamuchkan.
Sombrero	Ruqu
El viento quitó el sombrero a mi madre.	Wayram mamaypa ruqunta qichurqun.
Hacer	Ruray
Hoy hará panes.	Kunanmi tantata ruranqa.
Fruto	Ruru
El fruto de pacas es como el algodón.	Paqaypa rurunqa utkuhinam.
